recorded_hour,wind_sin,wind_cos
1764543600,0.0,0.0
1764547200,0.0,0.0
1764550800,0.19,-0.06
1764554400,0.0,0.0
1764558000,0.0,0.0
1764561600,0.0,0.0
1764565200,0.0,0.0
1764568800,0.0,0.0
1764572400,0.97,-0.81
1764576000,4.69,-1.77
1764579600,5.25,-6.09
1764583200,3.33,-4.45
1764586800,5.32,-3.91
1764590400,6.81,-4.69
1764594000,2.33,-6.67
1764597600,1.1,-6.35
1764601200,4.69,-5.29
1764604800,2.81,-5.3
1764608400,4.71,-6.35
1764612000,5.81,-5.23
1764615600,6.96,-7.56
1764619200,5.7,-7.45
1764622800,4.5,-7.52
1764626400,3.0,-6.97
1764630000,1.52,-8.48
1764633600,1.7,-6.55
1764637200,3.52,-6.07
1764640800,5.59,-5.0
1764644400,7.34,-5.36
1764648000,5.33,-2.82
1764651600,3.62,-4.19
1764655200,4.24,-3.03
1764658800,4.12,-2.16
1764662400,4.81,-3.2
1764666000,5.61,-2.28
1764669600,5.82,-3.22
1764673200,6.18,-4.26
1764676800,3.64,-1.61
1764680400,3.12,-2.61
1764684000,4.62,-2.7
1764687600,4.43,-3.12
1764691200,5.35,-4.18
1764694800,3.91,-4.31
1764698400,4.51,-2.7
1764702000,4.23,-3.74
1764705600,2.58,-2.02
1764709200,1.74,-3.02
1764712800,3.21,-3.0
1764716400,1.59,-1.02
1764720000,2.6,-1.19
1764723600,2.17,-2.76
1764727200,1.23,-2.41
1764730800,2.78,-2.02
1764734400,2.62,-1.97
1764738000,2.19,-2.4
1764741600,1.41,-1.01
1764745200,0.79,-1.36
1764748800,0.71,-0.48
1764752400,-0.46,-1.15
1764756000,-0.81,-1.86
1764759600,-1.35,-1.36
1764763200,-0.22,-0.59
1764770400,-0.02,-1.91
1764774000,0.52,-1.08
1764777600,0.43,-0.94
1764781200,0.5,-2.22
1764784800,1.04,-0.74
1764788400,1.04,-1.8
1764792000,1.8,-2.32
1764795600,2.45,-3.43
1764799200,0.24,-4.47
1764802800,2.25,-3.32
1764806400,2.23,-3.3
1764810000,2.06,-2.91
1764813600,5.04,-4.4
1764817200,2.68,-4.68
1764820800,1.21,-5.71
1764824400,4.39,-6.02
1764828000,5.73,-6.28
1764831600,4.84,-6.2
1764835200,4.63,-7.66
1764838800,7.75,-8.13
1764842400,6.43,-10.04
1764846000,5.96,-9.21
1764849600,6.69,-7.66
1764853200,8.35,-7.46
1764856800,3.99,-6.65
1764860400,3.2,-5.35
1764864000,1.92,-3.66
1764867600,1.78,-3.48
1764871200,0.67,-2.2
1764874800,1.31,-1.96
1764878400,0.14,-0.57
1764882000,0.16,-0.43
1764885600,0.0,0.0
1764889200,-0.17,-0.02
1764892800,0.13,0.15
1764896400,0.32,0.08
1764900000,-0.49,-0.79
1764903600,-0.01,-0.28
1764907200,0.06,0.19
1764910800,0.0,0.0
1764914400,0.17,-1.42
1764918000,-0.01,-1.34
1764921600,-0.32,-0.29
1764925200,-0.72,-3.18
1764928800,-3.16,-4.12
1764932400,-0.47,-3.89
1764936000,0.41,-4.18
1764939600,3.35,-6.63
1764943200,1.84,-5.99
1764946800,0.63,-5.89
1764950400,2.19,-8.04
1764954000,3.45,-8.67
1764957600,4.58,-7.29
1764961200,3.19,-6.79
1764964800,6.28,-7.12
1764968400,4.82,-8.93
1764972000,1.66,-7.85
1764975600,6.13,-8.85
1764979200,3.34,-9.37
1764982800,7.26,-10.19
1764986400,3.48,-9.25
1764990000,-1.39,-6.03
1764993600,3.74,-8.08
1764997200,1.36,-7.35
1765000800,-0.1,-6.0
1765004400,1.89,-4.46
1765008000,0.07,-4.35
1765011600,-0.56,-5.08
1765015200,-2.07,-6.63
1765018800,-1.26,-6.46
1765022400,-2.11,-3.44
1765026000,-3.58,-3.83
1765029600,-1.18,-4.38
1765033200,-1.55,-3.72
1765036800,-0.76,-1.51
1765040400,-0.76,-2.31
1765044000,-0.48,-2.38
1765047600,-0.5,-3.66
1765051200,-1.7,-1.8
1765054800,-1.95,-3.4
1765058400,-2.16,-4.42
1765062000,-2.16,-1.48
1765065600,-1.92,-2.27
1765069200,-1.57,-2.34
1765072800,-1.19,-1.72
1765076400,-0.79,-4.5
1765080000,-0.99,-2.91
1765083600,-1.48,-5.61
1765087200,1.12,-2.06
1765090800,1.11,-3.38
1765094400,-0.59,-4.51
1765098000,0.92,-5.13
1765101600,2.92,-4.19
1765105200,2.86,-4.62
1765108800,2.28,-5.85
1765112400,1.05,-3.71
1765116000,2.11,-3.6
1765119600,2.0,-1.04
1765123200,-0.96,-3.24
1765126800,-2.44,-3.54
1765130400,-4.79,-5.31
1765134000,-2.89,-3.26
1765137600,-2.82,-2.9
1765141200,-2.62,-1.69
1765144800,-2.06,-2.71
1765148400,-0.49,-0.42
1765152000,-0.92,-0.56
1765155600,-1.05,-1.71
1765159200,-2.49,-2.37
1765162800,-2.37,-4.99
1765166400,-2.32,-3.67
1765170000,-2.1,-5.5
1765173600,-1.54,-3.34
1765177200,-1.98,-4.06
1765180800,-2.92,-4.58
1765184400,-4.09,-5.04
1765188000,-2.97,-4.39
1765191600,-2.96,-6.11
1765195200,-4.74,-5.4
1765198800,-3.93,-5.34
1765202400,-1.71,-2.39
1765206000,-0.42,-4.17
1765209600,2.34,-2.47
1765213200,1.37,-4.88
1765216800,1.52,-3.55
1765220400,2.33,-3.54
1765224000,1.26,-0.87
1765227600,2.63,-1.84
1765231200,3.15,-0.53
1765234800,1.46,0.06
1765238400,0.54,0.01
1765242000,0.3,-0.63
1765245600,0.95,-0.48
1765249200,0.93,-0.83
1765252800,3.11,-2.93
1765256400,3.81,-3.13
1765260000,4.73,-3.14
1765263600,2.77,-5.77
1765267200,2.89,-4.67
1765270800,3.46,-3.69
1765274400,3.27,-4.26
1765278000,1.4,-7.3
1765281600,2.5,-6.11
1765285200,2.85,-6.28
1765288800,3.67,-5.99
1765292400,5.19,-6.15
1765296000,3.47,-5.47
1765299600,4.47,-4.79
1765303200,3.61,-5.35
1765306800,2.07,-1.04
1765310400,1.82,-3.05
1765314000,1.98,-3.77
1765317600,0.65,-3.08
1765321200,0.01,-3.68
1765324800,-0.13,-1.74
1765328400,0.17,-1.73
1765332000,0.75,-1.02
1765335600,0.86,-2.8
1765339200,-0.87,-2.03
1765342800,0.28,-1.12
1765346400,-0.6,-2.68
1765350000,-0.89,-2.25
1765353600,-2.11,-2.67
1765357200,-0.93,-2.23
1765360800,-1.92,-4.19
1765364400,-2.19,-4.83
1765368000,-3.77,-3.84
1765371600,-2.11,-3.09
1765375200,-1.25,-1.33
1765378800,-0.69,-0.33
1765382400,-0.83,-0.06
1765386000,0.0,0.0
1765389600,0.0,0.0
1765393200,0.0,0.0
1765396800,0.2,0.04
1765400400,0.16,-0.13
1765404000,0.16,0.41
1765407600,0.12,0.16
1765411200,0.28,-0.31
1765414800,0.73,-0.58
1765418400,0.54,-0.27
1765422000,1.46,-1.04
1765425600,1.35,-0.35
1765429200,1.6,-0.56
1765432800,1.48,-0.48
1765436400,1.39,-1.55
1765440000,1.39,-2.7
1765443600,1.04,-0.86
1765447200,3.23,-2.78
1765450800,3.19,-3.18
1765454400,5.2,-4.63
1765458000,1.92,-3.66
1765461600,4.69,-3.57
1765465200,5.34,-3.59
1765468800,5.28,-6.85
1765472400,4.88,-3.94
1765476000,4.72,-5.18
1765479600,4.42,-6.61
1765483200,3.93,-6.76
1765486800,4.6,-5.19
1765490400,3.8,-3.44
1765494000,3.7,-3.84
1765497600,5.38,-4.33
1765501200,5.42,-4.32
1765504800,4.9,-3.88
1765508400,3.16,-3.83
1765512000,3.79,-5.11
1765515600,4.07,-4.67
1765519200,4.7,-5.14
1765522800,5.12,-6.73
1765526400,2.95,-6.33
1765530000,2.19,-5.87
1765533600,2.63,-4.9
1765537200,1.2,-6.8
1765540800,0.29,-4.31
1765544400,1.08,-4.57
1765548000,3.29,-4.14
1765551600,2.94,-3.32
1765555200,4.35,-4.53
1765558800,1.74,-3.25
1765562400,3.54,-3.54
1765566000,5.68,-3.92
1765569600,4.77,-4.27
1765573200,3.77,-4.31
1765576800,2.3,-3.67
1765580400,3.08,-2.62
1765584000,2.75,-2.56
1765587600,2.43,-3.05
1765591200,2.05,-2.25
1765594800,1.66,-1.78
1765598400,0.86,-0.51
1765602000,0.43,-0.22
1765605600,2.76,-2.25
1765609200,1.85,-0.72
1765612800,0.59,0.07
1765616400,0.81,-0.26
1765620000,0.27,0.0
1765623600,0.0,0.0
1765627200,-0.24,-0.17
1765630800,0.38,-2.42
1765634400,-0.12,-0.79
1765638000,0.11,-0.51
1765641600,0.11,-0.12
1765645200,0.72,-0.63
1765648800,0.0,0.0
1765652400,0.0,0.0
1765656000,0.0,0.0
1765659600,0.22,-0.77
1765663200,0.19,-1.39
1765666800,0.26,-2.84
1765670400,-0.24,-2.61
1765674000,0.0,-2.12
1765677600,-1.29,-2.64
1765681200,-0.96,-3.78
1765684800,-0.79,-3.11
1765688400,-0.25,-2.15
1765692000,0.83,-2.3
1765695600,4.19,-4.03
1765699200,2.86,-5.38
1765702800,1.02,-3.89
1765706400,3.27,-5.7
1765710000,2.67,-5.04
1765713600,2.4,-5.83
1765717200,4.53,-4.22
