recorded_hour,humidity,pressure,temperature,wind_sin,wind_cos,hour_sin,hour_cos,day_sin,day_cos,pressure_minus_3h,pressure_trend_3h,forecast_temperature,forecast_humidity,forecast_pressure,forecast_wind_sin,forecast_wind_cos
1764543600,96.833333333333,1013.0666666667,-1.7333333333333,0,0,0,1,-0.49720407844694,0.86763362335477,,,0.1,95,1020,1.3777239608801,-1.5848901184678
1764547200,96.666666666667,1012.9833333333,-1.6333333333333,0,0,0.25881904510252,0.96592582628907,-0.49720407844694,0.86763362335477,,,-0.7,97,1020.3,1.5733009776246,-1.9428649036424
1764550800,96,1012.7833333333,-1.6,0.19021130325903,-0.061803398874989,0.5,0.86602540378444,-0.49720407844694,0.86763362335477,,,-0.3,97,1020.5,1.3544552457164,-1.7336236579348
1764554400,96,1012.65,-1.6333333333333,0,0,0.70710678118655,0.70710678118655,-0.49720407844694,0.86763362335477,1013.0666666667,-0.41666666666663,-0.1,97,1020.3,1.7780869526882,-2.5393713372959
1764558000,96,1012.25,-2.1166666666667,0,0,0.86602540378444,0.5,-0.49720407844694,0.86763362335477,1012.9833333333,-0.73333333333358,-0.5,98,1020.3,1.5897577926996,-2.5441442884693
1764561600,96,1012.1166666667,-2.25,0,0,0.96592582628907,0.25881904510252,-0.49720407844694,0.86763362335477,1012.7833333333,-0.66666666666652,-0.1,98,1019.8,1.7453146328868,-3.1486309457018
1764565200,96,1011.9833333333,-2.15,0,0,1,6.1232339957368E-17,-0.49720407844694,0.86763362335477,1012.65,-0.66666666666674,-0,99,1019.8,0.54752062764081,-3.456909192083
1764568800,96.833333333333,1011.75,-1.5,0,0,0.96592582628907,-0.25881904510252,-0.49720407844694,0.86763362335477,1012.25,-0.49999999999977,-0.3,100,1019.3,1.5732926592981,-4.3225860556152
1764572400,96.333333333333,1011.7,0.18333333333333,0.97065782509052,-0.81136523962049,0.86602540378444,-0.5,-0.49720407844694,0.86763362335477,1012.1166666667,-0.41666666666686,0,100,1019.4,1.7231903297132,-4.2650457310072
1764576000,94.333333333333,1011.7833333333,1.0166666666667,4.6916950132516,-1.7665431609387,0.70710678118655,-0.70710678118655,-0.49720407844694,0.86763362335477,1011.9833333333,-0.19999999999982,0.3,100,1019.3,2.149021206691,-5.0627766939884
1764579600,91.833333333333,1011.1833333333,1.8833333333333,5.2546743107894,-6.0940899788474,0.5,-0.86602540378444,-0.49720407844694,0.86763362335477,1011.75,-0.56666666666672,0.6,99,1019.1,2.3053136580867,-5.4309786353694
1764583200,91,1010.7166666667,2.5833333333333,3.3293314371193,-4.4494464444988,0.25881904510252,-0.96592582628907,-0.49720407844694,0.86763362335477,1011.7,-0.98333333333335,1,96,1018.8,1.7916428128105,-6.2482010235991
1764586800,90,1010.2333333333,3.4,5.3157149168122,-3.9101423910979,1.2246467991474E-16,-1,-0.49720407844694,0.86763362335477,1011.7833333333,-1.55,1.8,93,1017.8,2.2789770812001,-6.6186300291952
1764590400,88.833333333333,1009.25,4.2833333333333,6.8092898962761,-4.6879490942095,-0.25881904510252,-0.96592582628907,-0.49720407844694,0.86763362335477,1011.1833333333,-1.9333333333334,3.7,85,1017.1,1.3165820680982,-6.7732275657889
1764594000,84.833333333333,1008.2666666667,5.1833333333333,2.332506921471,-6.670437337337,-0.5,-0.86602540378444,-0.49720407844694,0.86763362335477,1010.7166666667,-2.45,4,82,1015.9,0.98812901681646,-7.0309032880651
1764597600,84.833333333333,1007.6833333333,5.2666666666667,1.1021617512983,-6.3505742708883,-0.70710678118655,-0.70710678118655,-0.49720407844694,0.86763362335477,1010.2333333333,-2.5500000000002,4.1,83,1015.1,0.33495011995484,-6.3912290224293
1764601200,85.666666666667,1007.25,4.95,4.6852065036018,-5.2899338534631,-0.86602540378444,-0.5,-0.49720407844694,0.86763362335477,1009.25,-2,4.4,83,1014.8,1.3547438671735,-6.9695530024784
1764604800,85,1007.05,4.9666666666667,2.8096475215648,-5.300880030502,-0.96592582628907,-0.25881904510252,-0.49720407844694,0.86763362335477,1008.2666666667,-1.2166666666665,3.7,85,1014.1,1.7996084347509,-7.7949605182819
1764608400,83.833333333333,1006.4,4.8833333333333,4.7056929862484,-6.3496198197582,-1,-1.836970198721E-16,-0.49720407844694,0.86763362335477,1007.6833333333,-1.2833333333333,3.4,89,1014,0.91402007553861,-7.4440961373099
1764612000,83.833333333333,1005.8666666667,4.7666666666667,5.8129378171382,-5.2316239758145,-0.96592582628907,0.25881904510252,-0.49720407844694,0.86763362335477,1007.25,-1.3833333333332,3.6,86,1013.4,1.9570252263007,-6.8249580411621
1764615600,80.833333333333,1005.2666666667,5.15,6.9558943159862,-7.5602537172611,-0.86602540378444,0.5,-0.49720407844694,0.86763362335477,1007.05,-1.7833333333335,3,86,1012.7,1.9670247427792,-7.3410362797969
1764619200,74.833333333333,1004.6833333333,5.2833333333333,5.6956281791959,-7.4523673522797,-0.70710678118655,0.70710678118655,-0.49720407844694,0.86763362335477,1006.4,-1.7166666666666,3.2,84,1012.1,1.9353751647973,-7.762365810208
1764622800,67.333333333333,1004.2333333333,5.0833333333333,4.5042556535005,-7.5156336431624,-0.5,0.86602540378444,-0.49720407844694,0.86763362335477,1005.8666666667,-1.6333333333333,3.6,74,1011.2,2.2877900532811,-7.978472076288
1764626400,64.666666666667,1003.65,4.8833333333333,2.9966948049015,-6.9730866497137,-0.25881904510252,0.96592582628907,-0.49720407844694,0.86763362335477,1005.2666666667,-1.6166666666666,3.1,74,1010.9,1.5385465120514,-7.2382922454302
1764630000,68.333333333333,1003.3166666667,4.6,1.5151854630699,-8.4822893799313,0,1,-0.48220584789635,0.87605794343443,1004.6833333333,-1.3666666666668,3,78,1010.2,2.52176718707,-5.6639818373841
1764633600,75.833333333333,1003.3333333333,3.9833333333333,1.6976181032464,-6.5454724655348,0.25881904510252,0.96592582628907,-0.48220584789635,0.87605794343443,1004.2333333333,-0.90000000000009,3.6,77,1010,2.5444124417716,-6.6284210281301
