latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
49.8712,4.5947,,0,GMT,GMT

time,"temperature_2m (°C)","wind_speed_10m (kn)","wind_direction_10m (°)","pressure_msl (hPa)","relative_humidity_2m (%)"
2026-07-01T00:00,17.3,3.3,315,1021.2,77
2026-07-01T01:00,16.8,2.5,328,1021,76
2026-07-01T02:00,16.3,3.6,338,1021.4,75
2026-07-01T03:00,15.9,2.9,340,1021.4,72
2026-07-01T04:00,14.5,4.3,330,1021.9,77
2026-07-01T05:00,14.4,4.9,331,1022.3,75
2026-07-01T06:00,15.5,4.6,327,1022.5,79
2026-07-01T07:00,16.9,3.9,311,1022.3,73
2026-07-01T08:00,18.2,3.8,300,1022.6,68
2026-07-01T09:00,19.3,4.1,301,1022.5,63
2026-07-01T10:00,20.5,4.8,328,1022.5,56
2026-07-01T11:00,21.4,5.8,327,1022.6,55
2026-07-01T12:00,22.1,5.3,336,1022.4,52
2026-07-01T13:00,22.8,5.5,337,1022.3,50
2026-07-01T14:00,23.2,5.1,353,1022.4,48
2026-07-01T15:00,23.7,3.1,356,1022,47
2026-07-01T16:00,22.9,4.4,347,1022.6,55
2026-07-01T17:00,22.4,4.1,319,1022.3,54
2026-07-01T18:00,22.2,3.1,338,1022.5,54
2026-07-01T19:00,20.8,1.8,328,1022.8,62
2026-07-01T20:00,19.3,2.1,292,1022.9,65
2026-07-01T21:00,18.8,2.1,275,1023.5,72
2026-07-01T22:00,17.6,2.3,318,1023.8,80
2026-07-01T23:00,16.9,0.7,326,1023.8,82
2026-07-02T00:00,16.3,1.8,288,1023.8,84
2026-07-02T01:00,15.7,2.3,318,1023.8,85
2026-07-02T02:00,15.1,2.1,326,1023.4,88
2026-07-02T03:00,14.7,1.7,324,1023.3,85
2026-07-02T04:00,14.5,0.6,288,1023.5,85
2026-07-02T05:00,14.5,1,158,1023.3,90
2026-07-02T06:00,16.4,3.1,248,1023.4,83
2026-07-02T07:00,17.4,3.3,234,1023.4,79
2026-07-02T08:00,18.9,4.7,232,1022.8,69
2026-07-02T09:00,20.3,6.5,219,1022.5,59
2026-07-02T10:00,20.8,6.6,220,1022.6,57
2026-07-02T11:00,19.8,5.4,232,1022.7,61
2026-07-02T12:00,20.2,5.8,249,1022.6,67
2026-07-02T13:00,19.6,4.6,250,1022.8,78
2026-07-02T14:00,19.8,5.3,260,1022.4,75
2026-07-02T15:00,20.7,6.3,279,1022.7,71
2026-07-02T16:00,19.8,4.9,288,1022.8,79
2026-07-02T17:00,20.5,4.3,278,1023,71
2026-07-02T18:00,20.3,3.4,283,1022.7,76
2026-07-02T19:00,19.7,3.5,236,1022.9,78
2026-07-02T20:00,18.8,2.6,283,1023.5,79
2026-07-02T21:00,18.5,2.2,297,1023.7,78
2026-07-02T22:00,17.9,3.3,310,1024.4,84
2026-07-02T23:00,16.9,3.9,360,1025,84
2026-07-03T00:00,15.7,2.4,346,1025.4,86
2026-07-03T01:00,14.5,1,338,1026,92
2026-07-03T02:00,13.5,1.8,328,1026.4,95
2026-07-03T03:00,12.9,1.3,333,1026.6,95
2026-07-03T04:00,12.3,1.4,326,1027.1,97
2026-07-03T05:00,13,1.4,304,1027.4,96
2026-07-03T06:00,14.8,1,360,1027.5,92
2026-07-03T07:00,17.6,1.4,146,1027.7,72
2026-07-03T08:00,19.6,1.9,156,1027.5,59
2026-07-03T09:00,20,1.8,264,1027.4,55
2026-07-03T10:00,21,1.9,315,1027.5,50
2026-07-03T11:00,21.8,4.4,331,1027.1,46
2026-07-03T12:00,22.2,3.1,300,1027,44
2026-07-03T13:00,23.2,2.5,342,1026.5,45
2026-07-03T14:00,23.4,3.6,331,1026.3,43
2026-07-03T15:00,23.5,4.1,341,1026.3,43
2026-07-03T16:00,23.3,4.8,310,1026.4,43
2026-07-03T17:00,22.6,3.4,329,1026.3,46
2026-07-03T18:00,21.9,3.8,315,1026.4,49
2026-07-03T19:00,20.3,4.2,326,1026.7,49
2026-07-03T20:00,18.4,2.9,312,1027.2,55
2026-07-03T21:00,17,2.9,323,1027.6,60
2026-07-03T22:00,15.9,3.2,346,1027.7,61
2026-07-03T23:00,14.9,3.3,357,1027.8,67
2026-07-04T00:00,14,2.7,356,1028,69
2026-07-04T01:00,12.8,0.4,360,1028.1,75
2026-07-04T02:00,11.7,1,90,1028,81
2026-07-04T03:00,11,1.2,90,1027.5,85
2026-07-04T04:00,10.6,1.2,39,1028,86
2026-07-04T05:00,12.4,1.5,337,1028.1,80
2026-07-04T06:00,15.1,1.4,8,1028.2,71
2026-07-04T07:00,17.8,0.7,326,1027.9,60
2026-07-04T08:00,19.7,2,241,1027.2,55
2026-07-04T09:00,20.4,3.3,225,1027.4,54
2026-07-04T10:00,21.5,3.6,234,1027.1,47
2026-07-04T11:00,22.8,5.7,235,1026.3,40
2026-07-04T12:00,23.7,5.8,250,1026.1,38
2026-07-04T13:00,24.4,6.2,256,1025.6,39
2026-07-04T14:00,25.3,5.3,253,1024.9,36
2026-07-04T15:00,25.5,5.5,276,1024.7,43
2026-07-04T16:00,25.2,6.3,286,1024,50
2026-07-04T17:00,24.8,5.4,285,1023.8,51
2026-07-04T18:00,24.2,4.6,285,1023.7,53
2026-07-04T19:00,22.6,4,293,1023.7,59
2026-07-04T20:00,21,3.1,292,1024.1,65
2026-07-04T21:00,19.7,2.9,290,1024.4,68
2026-07-04T22:00,18.4,2.6,297,1024.7,76
2026-07-04T23:00,17.6,3.4,294,1024.8,82
2026-07-05T00:00,17,4.3,313,1025,85
2026-07-05T01:00,16.4,1.4,344,1024.5,86
2026-07-05T02:00,15.9,1.1,45,1024.2,88
2026-07-05T03:00,15.3,0.6,270,1024.1,92
2026-07-05T04:00,15.1,0.6,288,1023.9,95
2026-07-05T05:00,15.5,2.4,331,1024.3,96
2026-07-05T06:00,16.3,3.1,325,1024.1,94
2026-07-05T07:00,17.6,1.6,300,1024.1,88
2026-07-05T08:00,19.2,2,259,1023.5,82
2026-07-05T09:00,20.7,2.5,288,1023.1,75
2026-07-05T10:00,21.1,3,259,1023.4,70
2026-07-05T11:00,21.6,4.1,275,1023.6,66
2026-07-05T12:00,22.5,5.1,295,1023.6,61
2026-07-05T13:00,22.6,5.6,299,1023.1,58
2026-07-05T14:00,23,4.8,302,1023,59
2026-07-05T15:00,23.2,4.3,297,1023,60
2026-07-05T16:00,23.4,4.9,315,1022.7,60
2026-07-05T17:00,23.2,4.5,313,1022.1,60
2026-07-05T18:00,23,4.2,307,1021.9,59
2026-07-05T19:00,21.4,3.3,315,1022.3,66
2026-07-05T20:00,19.9,2.7,315,1022.1,72
2026-07-05T21:00,18.6,2.1,326,1022.6,77
2026-07-05T22:00,17.8,0.5,225,1022.6,80
2026-07-05T23:00,16.8,0.4,153,1022.6,84
2026-07-06T00:00,15.9,1,307,1022.4,88
2026-07-06T01:00,14.5,0.7,34,1022.3,95
2026-07-06T02:00,14.1,1.7,90,1022.2,95
2026-07-06T03:00,13.7,1.4,98,1021.9,96
2026-07-06T04:00,13.3,2.7,94,1021.4,98
2026-07-06T05:00,14,1.8,72,1021.2,99
2026-07-06T06:00,16,2.1,158,1021.7,91
2026-07-06T07:00,18.4,3.5,199,1021.2,80
2026-07-06T08:00,20.4,3.4,204,1021.1,73
2026-07-06T09:00,21.7,4.1,229,1020.7,69
2026-07-06T10:00,23.3,4.8,223,1020.6,60
2026-07-06T11:00,24.9,5,242,1020.4,52
2026-07-06T12:00,26.2,5.7,246,1020.2,45
2026-07-06T13:00,27.2,5.9,264,1019.8,40
2026-07-06T14:00,27.8,6.4,265,1019.2,36
2026-07-06T15:00,28.4,5.8,270,1018.6,36
2026-07-06T16:00,28.7,5.9,281,1018.3,32
2026-07-06T17:00,28,5.4,285,1017.9,31
2026-07-06T18:00,27.2,3.9,252,1017.5,35
2026-07-06T19:00,25.4,3.4,257,1017.3,39
2026-07-06T20:00,22.9,1.8,238,1017.2,47
2026-07-06T21:00,21.5,3,259,1017.5,45
2026-07-06T22:00,20.5,3.7,276,1017.7,46
2026-07-06T23:00,20.1,3.1,270,1017.8,45
2026-07-07T00:00,19.8,3.8,258,1017.6,45
2026-07-07T01:00,18.5,3.1,210,1017.2,51
2026-07-07T02:00,15.8,2.5,135,1017.1,63
2026-07-07T03:00,17.3,3.3,242,1017,61
2026-07-07T04:00,18.4,4,247,1017,57
2026-07-07T05:00,18.4,4,241,1016.9,60
2026-07-07T06:00,19.3,3,220,1016.8,56
2026-07-07T07:00,20.8,2.6,222,1017,50
2026-07-07T08:00,22.2,2.5,231,1016.4,53
2026-07-07T09:00,24,4.3,265,1016.4,43
2026-07-07T10:00,25.2,6.8,272,1016.4,40
2026-07-07T11:00,25.4,6.4,258,1016.2,38
2026-07-07T12:00,26.7,7,265,1016.3,36
2026-07-07T13:00,27.2,6.6,249,1016.1,34
2026-07-07T14:00,28,6,249,1015.6,32
2026-07-07T15:00,28.4,6.6,270,1015.4,30
2026-07-07T16:00,27.9,6.6,291,1015.4,31
2026-07-07T17:00,27,5.6,295,1015.6,32
2026-07-07T18:00,26,5.3,294,1015.9,35
2026-07-07T19:00,24.5,3.9,267,1016,41
2026-07-07T20:00,22.7,1.7,270,1015.9,50
2026-07-07T21:00,21,1.6,284,1016.6,58
2026-07-07T22:00,20.1,2,287,1016.9,56
2026-07-07T23:00,18.5,0.7,146,1017.1,68
2026-07-08T00:00,17.6,0.7,124,1017.4,72
2026-07-08T01:00,17.2,1.6,76,1017.6,71
2026-07-08T02:00,16.8,1.1,31,1017.6,73
2026-07-08T03:00,16.4,2,349,1017.5,76
2026-07-08T04:00,16.2,1.9,323,1017.7,79
2026-07-08T05:00,16.5,1.2,252,1018.2,85
2026-07-08T06:00,18.8,0.4,207,1018.5,77
2026-07-08T07:00,21.8,1.2,39,1018.6,67
2026-07-08T08:00,23.1,0.6,18,1018.5,63
2026-07-08T09:00,24.1,2,349,1018.3,59
2026-07-08T10:00,24.8,2.5,337,1019,58
2026-07-08T11:00,25.9,3.9,354,1018.7,55
2026-07-08T12:00,26.4,3.8,345,1018.5,53
2026-07-08T13:00,26.6,4.8,328,1018.5,52
2026-07-08T14:00,27,5.1,323,1018.2,50
2026-07-08T15:00,27.1,5.1,335,1017.8,51
2026-07-08T16:00,26.7,4.3,342,1018.2,51
2026-07-08T17:00,26.4,4.3,336,1018.3,52
2026-07-08T18:00,25.5,4.1,341,1017.9,56
2026-07-08T19:00,23.9,3.1,330,1018.2,61
2026-07-08T20:00,22.2,2.6,333,1018.3,65
2026-07-08T21:00,21.1,2,354,1018.7,70
2026-07-08T22:00,20.5,2.9,356,1019.1,72
2026-07-08T23:00,19.8,3.1,360,1019.1,74
2026-07-09T00:00,19.1,2.4,14,1019,79
2026-07-09T01:00,18.2,1.9,24,1019,82
2026-07-09T02:00,17.1,0.8,346,1018.5,91
2026-07-09T03:00,16.3,0.6,288,1018.5,96
2026-07-09T04:00,15.7,1.7,324,1018.6,98
2026-07-09T05:00,15.9,1,323,1018.7,97
2026-07-09T06:00,18.1,1,307,1018.8,89
2026-07-09T07:00,20.8,1.5,113,1018.8,73
2026-07-09T08:00,22.6,2.2,75,1018.5,64
2026-07-09T09:00,23.3,3.3,7,1018.4,61
2026-07-09T10:00,24.4,3.6,338,1018.1,58
2026-07-09T11:00,25.2,4.2,349,1017.7,50
2026-07-09T12:00,26,4,14,1017.5,45
2026-07-09T13:00,26.9,3.7,360,1017.1,43
2026-07-09T14:00,27.7,4.7,360,1016.6,41
2026-07-09T15:00,28.3,5.5,18,1016,39
2026-07-09T16:00,28.1,5.4,13,1016.1,40
2026-07-09T17:00,27.4,6.2,20,1015.9,43
2026-07-09T18:00,26.5,4.8,12,1015.6,46
2026-07-09T19:00,24.8,4.3,3,1015.6,55
2026-07-09T20:00,23.1,3.4,344,1015.4,59
2026-07-09T21:00,22.1,4.1,355,1015.8,59
2026-07-09T22:00,21.3,3.1,360,1016,63
2026-07-09T23:00,20.5,3.3,353,1016.2,65
2026-07-10T00:00,19.3,2.6,351,1016.2,72
2026-07-10T01:00,18.7,2.1,326,1016.2,74
2026-07-10T02:00,17.2,1.8,311,1016.2,82
2026-07-10T03:00,16.6,0.8,14,1016,82
2026-07-10T04:00,16.7,1,101,1016.1,82
2026-07-10T05:00,15.5,1.5,320,1016.3,96
2026-07-10T06:00,18.4,0.6,342,1016.5,82
2026-07-10T07:00,21.6,3.2,76,1016.4,65
2026-07-10T08:00,23.7,3.3,93,1016.2,59
2026-07-10T09:00,25.1,3.3,87,1016.1,54
2026-07-10T10:00,27,4.1,71,1015.8,46
2026-07-10T11:00,28.4,5.2,68,1015.6,40
2026-07-10T12:00,29.1,5.1,65,1015.3,38
2026-07-10T13:00,30.1,4.8,60,1015,33
2026-07-10T14:00,30.6,5.5,68,1014.8,33
2026-07-10T15:00,30.2,6,69,1014.6,33
2026-07-10T16:00,30,6.5,57,1014.5,33
2026-07-10T17:00,29.2,5.1,58,1014.3,37
2026-07-10T18:00,28.7,4.7,30,1014.2,37
2026-07-10T19:00,27.3,5.2,34,1014.6,39
2026-07-10T20:00,26.1,5.3,33,1015.1,39
2026-07-10T21:00,25.5,5.6,34,1015.6,39
2026-07-10T22:00,24.6,5.6,34,1016.2,41
2026-07-10T23:00,23.8,4.7,35,1016.8,44
